62836,49366,0,0,0,0
23440,13014,0,0,0,0
45054,51034,0,1,0,0
25630,40188,1,1,0,0
29322,52420,1,1,0,0
48868,6310,0,0,0,0
35958,24816,1,0,0,0
24746,17674,0,0,0,0
2244,34960,1,1,0,0
35958,24816,1,0,0,0
24746,17674,0,0,0,0
28760,53792,1,1,0,0
48960,60770,0,1,0,0
62836,49366,0,0,0,0
25796,41670,0,1,1,1
33404,41380,1,1,0,0
29858,20688,0,0,0,0
56704,60464,0,1,0,0
2244,34960,0,1,0,0
4630,32284,1,1,0,1
25630,40188,1,1,0,0
48546,56610,1,1,0,0
63458,8992,0,0,0,1
50060,54810,0,1,0,0
48288,49422,1,1,0,0
40952,34314,0,0,0,0
24746,17674,0,0,0,0
63458,8992,1,0,0,0
36838,5462,1,0,0,0
23440,13014,0,0,0,0
15694,48232,1,1,0,1
13824,13414,1,0,0,1
38794,60624,0,1,1,1
48202,58214,0,1,0,0
15694,48232,0,1,0,0
59734,10080,0,0,0,0
29322,52420,1,1,0,0
300,27038,0,1,0,0
5624,58888,0,1,0,0
11904,6528,1,0,0,1
878,446,0,0,0,1
6676,20284,1,1,0,0
15694,48232,1,1,0,0
34830,56044,1,1,0,0
33730,9300,0,0,0,0
6676,20284,0,1,0,0
60130,60764,1,1,0,1
12870,55826,1,1,0,0
518,20048,0,1,0,0
15694,48232,0,1,0,1
62836,49366,0,0,0,0
41940,44492,1,1,0,1
35958,24816,1,0,0,0
46256,64284,0,1,0,1
10908,4310,0,0,0,0
58466,45344,0,0,1,0
62844,64296,1,1,0,0
48546,56610,0,1,1,1
24496,51260,0,1,0,0
33592,59896,0,1,0,0
62844,64296,1,1,0,0
23440,13014,1,0,0,0
38794,60624,1,1,0,0
27192,25538,1,0,0,0
34752,38934,1,1,0,0
51612,28198,1,0,0,0
878,446,1,0,0,0
29858,20688,0,0,1,1
12096,35106,0,1,0,1
12870,55826,0,1,0,0
57952,61608,0,1,0,0
46256,64284,1,1,0,1
13824,13414,0,0,1,0
56774,25906,1,0,0,0
10884,58654,1,1,0,0
25362,45054,0,1,0,0
11578,31720,0,1,0,0
37962,61998,0,1,0,1
57952,61608,0,1,0,0
24130,47274,0,1,0,0
50060,54810,1,1,0,0
7574,65386,1,1,0,0
23440,13014,1,0,0,0
3940,2674,1,0,0,0
55274,55290,1,1,0,0
23148,14984,1,0,0,0
13824,13414,0,0,0,0
48868,6310,0,0,0,1
36672,42872,0,1,1,0
10424,2748,1,0,0,1
54076,30536,1,0,0,0
38188,62156,1,1,0,0
37624,40582,1,1,0,1
48868,6310,0,0,0,0
214,122,0,0,1,0
55274,55290,1,1,0,0
38188,62156,0,1,1,0
46256,64284,1,1,0,0
49454,15754,1,0,0,0
18150,7992,0,0,1,0
28760,53792,1,1,0,1
13824,13414,1,0,0,1
62836,49366,0,0,1,0
41906,48694,0,1,0,0
7838,5946,1,0,0,1
24496,51260,1,1,1,1
942,33978,1,1,1,1
37962,61998,1,1,0,0
37624,40582,0,1,1,0
14430,3390,0,0,0,1
41940,44492,1,1,1,1
51612,28198,0,0,1,1
56774,25906,0,0,0,0
1736,1140,0,0,0,1
14430,3390,1,0,0,0
18020,20080,0,1,0,0
300,27038,1,1,0,0
45454,61752,0,1,1,0
24130,47274,0,1,0,0
40736,63246,1,1,0,0
51784,17564,1,0,0,0
48202,58214,0,1,1,0
56704,60464,1,1,0,0
34384,4460,1,0,0,0
36482,65466,0,1,0,1
49454,15754,1,0,1,0
24130,47274,0,1,0,0
28760,53792,0,1,1,0
1736,1140,0,0,0,0
51538,58644,1,1,0,1
41940,44492,1,1,1,1
57952,61608,1,1,0,1
34384,4460,1,0,0,1
21516,32894,1,1,0,1
7150,6310,1,0,1,0
28760,53792,0,1,0,0
38188,62156,0,1,0,0
60342,26492,1,0,0,1
34384,4460,0,0,1,0
58466,45344,1,0,0,1
11904,6528,0,0,0,0
10884,58654,0,1,1,0
39670,13258,0,0,0,1
2306,764,1,0,1,0
49200,47438,1,0,0,0
54076,30536,0,0,1,1
13824,13414,1,0,0,0
59734,10080,1,0,1,1
14430,3390,0,0,0,1
37962,61998,1,1,0,1
45880,57176,1,1,1,1
56704,60464,1,1,0,1
60130,60764,0,1,0,0
44476,63632,1,1,1,1
7574,65386,0,1,1,1
34168,35190,0,1,1,1
18020,20080,0,1,0,0
19740,17516,1,0,1,1
54718,56892,1,1,1,1
44476,63632,0,1,0,1
51042,62426,1,1,0,0
45046,48554,0,1,0,0
34752,38934,0,1,0,1
28760,53792,1,1,1,1
33730,9300,1,0,1,1
36482,65466,0,1,0,1
3940,2674,1,0,0,0
21516,32894,0,1,1,1
17900,44328,0,1,0,1
62836,49366,0,0,1,0
51612,28198,0,0,0,1
41940,44492,1,1,0,0
7838,5946,1,0,1,0
43374,5222,1,0,1,0
40952,34314,0,0,0,0
51784,17564,1,0,1,1
29858,20688,0,0,0,1
29858,20688,0,0,0,0
10424,2748,1,0,1,0
12096,35106,1,1,0,1
2244,34960,0,1,0,0
34752,38934,1,1,0,1
34216,5200,0,0,1,0
48960,60770,0,1,0,0
18966,27772,1,1,0,0
34830,56044,1,1,1,0
7574,65386,1,1,0,1
3940,2674,0,0,0,0
518,20048,0,1,1,1
1616,64888,0,1,0,0
14430,3390,1,0,1,1
10884,58654,0,1,1,0
56704,60464,1,1,0,0
45880,57176,1,1,0,0
34830,56044,1,1,0,0
38794,60624,0,1,0,1
6676,20284,1,1,1,0
51784,17564,0,0,0,1
12870,55826,1,1,0,1
33404,41380,0,1,1,1
24746,17674,0,0,1,0
15492,7458,1,0,0,0
16558,15818,0,0,1,0
18020,20080,0,1,0,1
28760,53792,0,1,1,1
37624,40582,1,1,0,0
36838,5462,1,0,1,1
58466,45344,0,0,0,1
3940,2674,1,0,0,0
28760,53792,1,1,0,1
51612,28198,0,0,1,0
58498,6354,0,0,1,1
60136,6744,1,0,1,1
8524,998,1,0,1,1
1450,50314,1,1,1,0
55274,55290,0,1,1,1
48202,58214,1,1,0,1
2306,764,0,0,0,0
23440,13014,1,0,1,0
45880,57176,1,1,0,1
38722,56120,0,1,0,1
41940,44492,1,1,1,0
23440,13014,1,0,1,1
54076,30536,0,0,0,0
16558,15818,0,0,0,0
58466,45344,1,0,0,1
13824,13414,1,0,0,1
54076,30536,0,0,0,0
29858,20688,0,0,1,1
35958,24816,1,0,0,1
25362,45054,1,1,1,1
1450,50314,1,1,0,1
54076,30536,0,0,0,0
7150,6310,1,0,1,1
5624,58888,1,1,1,1
16558,15818,1,0,1,0
63458,8992,1,0,0,0
17900,44328,0,1,1,1
19740,17516,0,0,0,0
18150,7992,0,0,0,1
